# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 4,,
# V min: 5.01683, V max: 5.02452,,,
# I min: 0.05477, I max: 0.08192,,,
Time,Voltage,Current,Capacity,Energy
1200,5.02022,0.08186,0.02729762,0.03433328
1205,5.02053,0.08185,0.02741131,0.03447596
1210,5.02018,0.08185,0.02752499,0.03461865
1215,5.02073,0.08188,0.02763869,0.03476136
1220,5.01968,0.08184,0.02775239,0.03490401
1225,5.02011,0.08185,0.02786606,0.03504666
1230,5.01936,0.08184,0.02797974,0.03518929
1235,5.01901,0.08184,0.0280934,0.03533191
1240,5.01893,0.08185,0.02820708,0.03547456
1245,5.0194,0.08182,0.02832074,0.03561716
1250,5.01929,0.08183,0.02843438,0.03575975
1255,5.01839,0.08182,0.02854803,0.03590233
1260,5.01889,0.08183,0.02866167,0.03604493
1265,5.01874,0.08179,0.0287753,0.03618747
1270,5.01925,0.08181,0.02888891,0.03633005
1275,5.01913,0.08181,0.02900253,0.03647262
1280,5.01897,0.08181,0.02911616,0.03661516
1285,5.01804,0.08186,0.02922982,0.03675783
1290,5.01944,0.08183,0.02934349,0.03690042
1295,5.01854,0.08184,0.02945715,0.03704301
1300,5.01768,0.08184,0.02957082,0.03718563
1305,5.01893,0.08184,0.02968449,0.03732826
1310,5.01913,0.08183,0.02979815,0.03747086
1315,5.01874,0.08185,0.02991181,0.03761349
1320,5.01893,0.08182,0.03002547,0.03775609
1325,5.01917,0.08183,0.03013912,0.03789869
1330,5.01893,0.08179,0.03025274,0.03804122
1335,5.01862,0.08179,0.03036634,0.03818374
1340,5.01847,0.08179,0.03047994,0.03832626
1345,5.01866,0.08176,0.03059351,0.03846875
1350,5.01893,0.0818,0.0307071,0.0386113
1355,5.01905,0.08178,0.03082069,0.03875383
1360,5.01925,0.0818,0.03093429,0.03889639
1365,5.01921,0.08178,0.03104789,0.0390389
1370,5.01886,0.08178,0.03116147,0.03918142
1375,5.01909,0.08177,0.03127505,0.03932393
1380,5.01905,0.08181,0.03138865,0.03946649
1385,5.0187,0.0818,0.03150226,0.03960907
1390,5.01995,0.08179,0.03161587,0.0397516
1395,5.01874,0.08177,0.03172945,0.03989409
1400,5.01854,0.08175,0.03184301,0.04003655
1405,5.01901,0.08175,0.03195655,0.040179
1410,5.01823,0.08174,0.03207008,0.04032144
1415,5.0187,0.08176,0.03218363,0.04046394
1420,5.01952,0.08174,0.03229717,0.04060641
1425,5.01991,0.08174,0.03241069,0.04074888
1430,5.01968,0.08173,0.03252422,0.04089134
1435,5.01991,0.08175,0.03263774,0.0410338
1440,5.01882,0.08175,0.03275128,0.04117627
1445,5.01909,0.08176,0.03286483,0.04131872
1450,5.01811,0.08174,0.03297838,0.04146118
1455,5.01917,0.08176,0.03309192,0.04160364
1460,5.01807,0.08176,0.03320547,0.04174613
1465,5.01921,0.08175,0.03331902,0.04188858
1470,5.01847,0.08177,0.03343258,0.04203106
1475,5.01819,0.08174,0.03354613,0.04217349
1480,5.01858,0.08177,0.03365967,0.04231598
1485,5.01858,0.08173,0.03377322,0.04245838
1490,5.01796,0.08174,0.03388674,0.04260081
1495,5.01811,0.08173,0.03400026,0.0427432
1500,5.01768,0.08174,0.03411378,0.04288561
1505,5.01757,0.08176,0.03422732,0.04302804
1510,5.01722,0.08171,0.03434084,0.04317039
1515,5.01729,0.08174,0.03445435,0.04331282
