# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 5,,,
# V min: 5.01893, V max: 5.0246,,,,
# I min: 0.05424, I max: 0.08465,,,,
# P min: 0.27244101119999997, P max: 0.425093677,,,,
Time,Voltage,Current,Power,Capacity,Energy
920,5.0221,0.08453,0.42451811,0.02162917,0.02722474
925,5.02206,0.08455,0.42461517,0.02174659,0.02737217
930,5.02186,0.08452,0.42444761,0.021864,0.02751956
935,5.02249,0.08455,0.42465153,0.02198141,0.02766698
940,5.02135,0.08453,0.42445472,0.02209883,0.02781433
945,5.02057,0.08455,0.42448919,0.02221624,0.02796173
950,5.02073,0.08456,0.42455293,0.02233368,0.02810917
955,5.02151,0.08458,0.42471932,0.02245114,0.02825662
960,5.02096,0.08455,0.42452217,0.02256859,0.02840401
965,5.02018,0.08455,0.42445622,0.02268602,0.0285514
970,5.02073,0.08453,0.42440231,0.02280344,0.02869877
975,5.02089,0.08455,0.42451625,0.02292085,0.02884618
980,5.02128,0.08455,0.42454922,0.02303828,0.0289936
985,5.02151,0.08457,0.4246691,0.02315573,0.02914106
990,5.02167,0.08456,0.42463242,0.02327318,0.0292885
995,5.02159,0.08456,0.42462565,0.02339062,0.02943593
1000,5.02116,0.08454,0.42448887,0.02350806,0.02958333
1005,5.02147,0.08455,0.42456529,0.02362548,0.02973077
1010,5.02225,0.08456,0.42468146,0.02374292,0.02987827
1015,5.02362,0.08458,0.42489778,0.02386037,0.03002575
1020,5.02194,0.08458,0.42475569,0.02397785,0.03017319
1025,5.02038,0.0846,0.42472415,0.02409533,0.03032069
1030,5.02116,0.08458,0.42468971,0.02421282,0.03046817
1035,5.02178,0.08462,0.42494302,0.02433032,0.03061571
1040,5.02147,0.0846,0.42481636,0.02444783,0.03076322
1045,5.02182,0.08461,0.42489619,0.02456534,0.03091075
1050,5.02155,0.08459,0.42477291,0.02468284,0.03105825
1055,5.02198,0.08457,0.42470885,0.02480031,0.03120574
1060,5.02276,0.08459,0.42487527,0.02491778,0.03135325
1065,5.02198,0.08458,0.42475907,0.02503526,0.03150079
1070,5.02378,0.08456,0.42481084,0.02515272,0.03164824
1075,5.02198,0.08458,0.42475907,0.02527018,0.03179573
1080,5.0221,0.08454,0.42456833,0.02538763,0.03194317
1085,5.02307,0.08456,0.4247508,0.02550506,0.03209064
1090,5.02237,0.08457,0.42474183,0.02562251,0.03223809
