algorithm,trunc_bits,repetition,found,collision_index,hash_evaluations,ratio_to_expected
SpVSH-320,32,43,yes,21172.0,97170.0,0.25776385
SpVSH-320,32,0,yes,47227.0,221019.0,0.57497702
SpVSH-320,32,47,yes,26602.0,184640.0,0.32387276
SpVSH-320,32,23,yes,37254.0,203280.0,0.45355822
SpVSH-320,32,28,yes,29570.0,158212.0,0.36000742
SpVSH-320,32,40,yes,38637.0,238023.0,0.4703959
SpVSH-320,32,34,yes,24822.0,169168.0,0.3022017
SpVSH-320,32,7,yes,42103.0,203608.0,0.51259359
SpVSH-320,32,26,yes,58450.0,345160.0,0.71161427
SpVSH-320,32,6,yes,69456.0,346753.0,0.84560959
SpVSH-320,32,39,yes,48266.0,232580.0,0.58762659
SpVSH-320,32,41,yes,47448.0,233426.0,0.57766764
SpVSH-320,32,27,yes,40895.0,200427.0,0.49788649
SpVSH-320,32,16,yes,39613.0,259085.0,0.48227846
SpVSH-320,32,10,yes,50764.0,231952.0,0.61803912
SpVSH-320,32,11,yes,63320.0,303417.0,0.77090531
SpVSH-320,32,29,yes,58823.0,406776.0,0.71615545
SpVSH-320,32,35,yes,45782.0,261700.0,0.55738451
SpVSH-320,32,20,yes,69888.0,432783.0,0.85086908
SpVSH-320,32,14,yes,44095.0,247176.0,0.5368457
SpVSH-320,32,49,yes,52105.0,258240.0,0.63436546
SpVSH-320,32,45,yes,57267.0,277254.0,0.69721153
SpVSH-320,32,5,yes,42238.0,286456.0,0.51423718
SpVSH-320,32,21,yes,69998.0,473502.0,0.85220831
SpVSH-320,32,46,yes,48753.0,322324.0,0.59355569
SpVSH-320,32,19,yes,105774.0,510354.0,1.28777224
SpVSH-320,32,9,yes,80751.0,488974.0,0.98312342
SpVSH-320,32,33,yes,94717.0,529920.0,1.15315601
SpVSH-320,32,1,yes,92910.0,427368.0,1.13115623
SpVSH-320,32,3,yes,62924.0,372453.0,0.76608411
SpVSH-320,32,24,yes,69045.0,431374.0,0.84060577
SpVSH-320,32,18,yes,84586.0,503496.0,1.02981359
SpVSH-320,32,36,yes,104281.0,487269.0,1.26959534
SpVSH-320,32,22,yes,77639.0,528734.0,0.94523559
SpVSH-320,32,13,yes,96061.0,472249.0,1.16951887
SpVSH-320,32,48,yes,77561.0,532004.0,0.94428596
SpVSH-320,32,30,yes,106827.0,696874.0,1.30059225
SpVSH-320,32,4,yes,122251.0,764175.0,1.48837563
SpVSH-320,32,17,yes,141524.0,857646.0,1.72301963
SpVSH-320,32,38,yes,107623.0,705816.0,1.31028336
SpVSH-320,32,25,yes,152074.0,813652.0,1.85146327
SpVSH-320,32,44,yes,133309.0,746588.0,1.62300404
SpVSH-320,32,32,yes,144053.0,825440.0,1.75380958
SpVSH-320,32,37,yes,147077.0,905368.0,1.79062603
SpVSH-320,32,31,yes,245431.0,1213113.0,2.98806161
SpVSH-320,32,8,yes,224151.0,1481604.0,2.72898288
SpVSH-320,40,5,yes,447847.0,2079040.0,0.34077664
SpVSH-320,40,3,yes,298347.0,2075343.0,0.2270188
SpVSH-320,40,2,yes,408548.0,2580102.0,0.31087317
SpVSH-320,40,14,yes,557730.0,2623441.0,0.42438903
SpVSH-320,40,25,yes,502685.0,3352327.0,0.38250408
SpVSH-320,40,10,yes,644649.0,3779327.0,0.49052761
SpVSH-320,40,8,yes,857636.0,4171663.0,0.65259411
SpVSH-320,40,29,yes,808295.0,5219140.0,0.61504946
SpVSH-320,40,19,yes,874733.0,5213468.0,0.6656036
SpVSH-320,40,1,yes,1165633.0,5571370.0,0.88695581
SpVSH-320,40,26,yes,991459.0,5810196.0,0.75442298
SpVSH-320,40,11,yes,1281358.0,6002950.0,0.97501351
SpVSH-320,40,28,yes,1277105.0,5859707.0,0.97177731
SpVSH-320,40,20,yes,1346698.0,6224998.0,1.02473215
SpVSH-320,40,17,yes,1359307.0,6489081.0,1.03432662
SpVSH-320,40,22,yes,1536244.0,7237544.0,1.16896188
SpVSH-320,40,13,yes,1581484.0,7594020.0,1.20338599
SpVSH-320,40,15,yes,1164520.0,7894285.0,0.8861089
SpVSH-320,40,23,yes,1683245.0,8005309.0,1.28081817
SpVSH-320,40,18,yes,1490905.0,8216008.0,1.13446243
SpVSH-320,40,27,yes,1390600.0,9288444.0,1.05813815
SpVSH-320,40,0,yes,1953975.0,9423660.0,1.48682259
SpVSH-320,40,7,yes,1953716.0,9423274.0,1.48662551
SpVSH-320,40,4,yes,2131174.0,9724377.0,1.62165721
