algorithm,trunc_bits,repetition,seed_attempt,seed_state_hex,found,rho_meet_steps,mu,lambda,collision_index,hash_evaluations,expected_collision_steps,log2_collision_index,ratio_to_expected,seconds,input_a_hex,input_b_hex,collision_trunc_hex
SHA-3-256,16,24,0,0x795d,yes,238,172,119,291,1640,320.8484,8.184875,0.90697034,0.004428,bf743d0c4bfae22f3954000000000000,bf743d0c4bfae22f9444000000000000,0x60d9
SHA-3-256,16,39,0,0x9140,yes,519,120,519,639,3075,320.8484,9.319672,1.99159467,0.004213,6c6d4d155a24449e4afa000000000000,6c6d4d155a24449efba9000000000000,0xcb6b
SHA-3-256,16,43,0,0xf2de,yes,386,244,386,630,2906,320.8484,9.299208,1.96354404,0.004271,1ba7d9b2e51e34ee3201000000000000,1ba7d9b2e51e34eefb3d000000000000,0x5898
SHA-3-256,16,14,0,0x508f,yes,548,81,548,629,3064,320.8484,9.296916,1.96042730,0.005268,fc9d2a21ed8579288664000000000000,fc9d2a21ed85792808cc000000000000,0x066b
SHA-3-256,16,42,0,0x775f,yes,420,321,140,461,2824,320.8484,8.848623,1.43681556,0.004287,c829ed4bd2c3985d4751000000000000,c829ed4bd2c3985dc17a000000000000,0x3256
SHA-3-256,16,36,0,0x296a,yes,411,193,411,604,2827,320.8484,9.238405,1.88250889,0.004560,ae209d273398a6b5b456000000000000,ae209d273398a6b56cf1000000000000,0xbf3c
SHA-3-256,16,27,0,0x1645,yes,390,241,390,631,2914,320.8484,9.301496,1.96666077,0.005100,3d53702dc9a580e67807000000000000,3d53702dc9a580e6692a000000000000,0x0aab
SHA-3-256,16,38,0,0x6913,yes,504,398,126,524,3356,320.8484,9.033423,1.63316996,0.004891,badac77bb6d261ddf7b0000000000000,badac77bb6d261dd9ab7000000000000,0xd353
SHA-3-256,16,47,0,0xdd47,yes,342,328,19,347,2376,320.8484,8.438792,1.08150759,0.005102,a5a4115605afff87bfd3000000000000,a5a4115605afff878ad5000000000000,0x50dc
SHA-3-256,24,21,0,0x68f41e,yes,461,402,461,863,3913,5133.5747,9.753217,0.16810898,0.004688,b1da9d73263c85839f3a8f0000000000,b1da9d73263c858375f5c00000000000,0x1894b1
SHA-3-256,24,9,0,0xb522ec,yes,822,778,411,1189,6400,5133.5747,10.215533,0.23161249,0.009205,01f6a5b7ec9eda438a0aca0000000000,01f6a5b7ec9eda439259800000000000,0x73a6b2
SHA-3-256,24,12,0,0x450dfc,yes,1883,1557,1883,3440,15643,5133.5747,11.748193,0.67009836,0.011452,710b6535e8e14ff000bdb00000000000,710b6535e8e14ff0167faa0000000000,0x11a610
SHA-3-256,24,3,0,0x01c566,yes,1881,479,1881,2360,11321,5133.5747,11.204571,0.45971864,0.012107,5d56f04db625f89c02fe3f0000000000,5d56f04db625f89c40ea610000000000,0x6e22f0
SHA-3-256,24,10,0,0xedae56,yes,2016,1988,96,2084,14192,5133.5747,11.025140,0.40595494,0.012518,2311113d69ee2d1db1b2140000000000,2311113d69ee2d1df077d80000000000,0x03e4ec
SHA-3-256,24,30,0,0x26f1c7,yes,2291,2276,79,2355,16135,5133.5747,11.201511,0.45874466,0.012236,1d7dce4ba77130dcf105a10000000000,1d7dce4ba77130dcd32bc10000000000,0x6c9c6a
SHA-3-256,24,28,0,0x54c6bb,yes,3033,2058,1011,3069,19353,5133.5747,11.583553,0.59782903,0.014571,c60b836a457a3dd48373040000000000,c60b836a457a3dd42f11f40000000000,0x82e0e9
SHA-3-256,24,45,0,0x101ea5,yes,2157,769,2157,2926,13861,5133.5747,11.514714,0.56997320,0.013934,db036be70ed4c43accfeaa0000000000,db036be70ed4c43a6c61c10000000000,0x0c7c7d
SHA-3-256,24,13,0,0xc0a0c6,yes,2070,2012,90,2102,14438,5133.5747,11.037547,0.40946127,0.016271,810644bfda17c783d569a00000000000,810644bfda17c7831a79690000000000,0xdb70b5
