time_s,Voltage_V,Current_A,Capacity_Ah,Energy_Wh
785.00000000,5.01971000,0.08186000,0.01785890,0.02248483
790.00000000,5.02042000,0.08188000,0.01797261,0.02262756
795.00000000,5.02061000,0.08184000,0.01808631,0.02277022
800.00000000,5.02022000,0.08186000,0.01819999,0.02291291
805.00000000,5.02022000,0.08186000,0.01831368,0.02305561
810.00000000,5.02026000,0.08185000,0.01842737,0.02319828
815.00000000,5.02026000,0.08188000,0.01854107,0.02334102
820.00000000,5.02034000,0.08188000,0.01865479,0.02348376
825.00000000,5.02073000,0.08188000,0.01876851,0.02362648
830.00000000,5.02011000,0.08187000,0.01888223,0.02376918
835.00000000,5.01964000,0.08188000,0.01899594,0.02391190
840.00000000,5.02014000,0.08185000,0.01910965,0.02405458
845.00000000,5.02018000,0.08183000,0.01922331,0.02419721
850.00000000,5.01999000,0.08185000,0.01933698,0.02433986
855.00000000,5.01944000,0.08186000,0.01945067,0.02448257
860.00000000,5.02061000,0.08187000,0.01956437,0.02462531
865.00000000,5.02139000,0.08188000,0.01967808,0.02476805
870.00000000,5.02077000,0.08188000,0.01979181,0.02491080
875.00000000,5.02089000,0.08188000,0.01990553,0.02505353
880.00000000,5.02038000,0.08188000,0.02001925,0.02519628
885.00000000,5.02077000,0.08189000,0.02013298,0.02533904
890.00000000,5.02100000,0.08188000,0.02024671,0.02548179
895.00000000,5.02085000,0.08185000,0.02036041,0.02562449
900.00000000,5.02096000,0.08189000,0.02047412,0.02576724
905.00000000,5.02057000,0.08186000,0.02058783,0.02590997
910.00000000,5.02155000,0.08188000,0.02070154,0.02605273
915.00000000,5.02143000,0.08187000,0.02081526,0.02619546
920.00000000,5.02096000,0.08183000,0.02092894,0.02633810
925.00000000,5.02018000,0.08184000,0.02104260,0.02648077
930.00000000,5.02050000,0.08184000,0.02115626,0.02662344
935.00000000,5.02077000,0.08185000,0.02126994,0.02676616
940.00000000,5.02155000,0.08184000,0.02138361,0.02690892
945.00000000,5.02413000,0.08188000,0.02149731,0.02705173
