time_s,Voltage_V,Current_A,Power_W,Capacity_Ah,Energy_Wh
1075.00000000,5.02198000,0.08458000,0.42475907,0.02527018,0.03179573
1080.00000000,5.02210000,0.08454000,0.42456833,0.02538763,0.03194317
1085.00000000,5.02307000,0.08456000,0.42475080,0.02550506,0.03209064
1090.00000000,5.02237000,0.08457000,0.42474183,0.02562251,0.03223809
1095.00000000,5.02135000,0.08458000,0.42470578,0.02573997,0.03238555
1100.00000000,5.02132000,0.08457000,0.42465303,0.02585744,0.03253301
1105.00000000,5.02147000,0.08459000,0.42476615,0.02597491,0.03268050
1110.00000000,5.02151000,0.08459000,0.42476953,0.02609240,0.03282798
1115.00000000,5.02147000,0.08460000,0.42481636,0.02620989,0.03297549
1120.00000000,5.02151000,0.08459000,0.42476953,0.02632738,0.03312300
1125.00000000,5.02206000,0.08459000,0.42481606,0.02644487,0.03327050
1130.00000000,5.02210000,0.08458000,0.42476922,0.02656235,0.03341799
1135.00000000,5.02186000,0.08459000,0.42479914,0.02667983,0.03356547
1140.00000000,5.02143000,0.08459000,0.42476276,0.02679731,0.03371297
1145.00000000,5.02194000,0.08462000,0.42495656,0.02691482,0.03386051
1150.00000000,5.02124000,0.08459000,0.42474669,0.02703233,0.03400799
1155.00000000,5.02112000,0.08463000,0.42493739,0.02714984,0.03415553
1160.00000000,5.02100000,0.08461000,0.42482681,0.02726737,0.03430308
1165.00000000,5.02233000,0.08463000,0.42503979,0.02738490,0.03445063
1170.00000000,5.02112000,0.08461000,0.42483696,0.02750242,0.03459813
1175.00000000,5.02096000,0.08462000,0.42487364,0.02761994,0.03474568
1180.00000000,5.02159000,0.08464000,0.42502738,0.02773749,0.03489328
1185.00000000,5.02221000,0.08461000,0.42492919,0.02785502,0.03504079
1190.00000000,5.02112000,0.08462000,0.42488717,0.02797254,0.03518832
1195.00000000,5.02112000,0.08460000,0.42478675,0.02809006,0.03533580
1200.00000000,5.02073000,0.08460000,0.42475376,0.02820756,0.03548330
1205.00000000,5.02116000,0.08459000,0.42473992,0.02832505,0.03563078
1210.00000000,5.02108000,0.08463000,0.42493400,0.02844256,0.03577831
1215.00000000,5.02057000,0.08460000,0.42474022,0.02856008,0.03592582
1220.00000000,5.02167000,0.08460000,0.42483328,0.02867758,0.03607333
1225.00000000,5.02175000,0.08461000,0.42489027,0.02879509,0.03622081
1230.00000000,5.01995000,0.08461000,0.42473797,0.02891260,0.03636830
1235.00000000,5.02022000,0.08461000,0.42476081,0.02903012,0.03651579
1240.00000000,5.02026000,0.08460000,0.42471400,0.02914763,0.03666326
1245.00000000,5.02042000,0.08456000,0.42452672,0.02926510,0.03681067
1250.00000000,5.02065000,0.08460000,0.42474699,0.02938257,0.03695819
1255.00000000,5.02178000,0.08465000,0.42509368,0.02950010,0.03710577
1260.00000000,5.02120000,0.08463000,0.42494416,0.02961766,0.03725332
1265.00000000,5.02116000,0.08460000,0.42479014,0.02973518,0.03740081
1270.00000000,5.02096000,0.08463000,0.42492384,0.02985270,0.03754837
1275.00000000,5.02155000,0.08460000,0.42482313,0.02997022,0.03769589
1280.00000000,5.02171000,0.08462000,0.42493710,0.03008774,0.03784342
1285.00000000,5.02120000,0.08463000,0.42494416,0.03020527,0.03799097
1290.00000000,5.02116000,0.08465000,0.42504119,0.03032283,0.03813857
1295.00000000,5.02182000,0.08461000,0.42489619,0.03044037,0.03828606
1300.00000000,5.02030000,0.08460000,0.42471738,0.03055788,0.03843353
1305.00000000,5.02018000,0.08459000,0.42465703,0.03067537,0.03858098
1310.00000000,5.02014000,0.08460000,0.42470384,0.03079286,0.03872845
1315.00000000,5.02057000,0.08459000,0.42469002,0.03091035,0.03887593
1320.00000000,5.02093000,0.08459000,0.42472047,0.03102784,0.03902343
1325.00000000,5.02190000,0.08459000,0.42480252,0.03114533,0.03917094
1330.00000000,5.02214000,0.08460000,0.42487304,0.03126282,0.03931847
1335.00000000,5.02257000,0.08462000,0.42500987,0.03138033,0.03946601
1340.00000000,5.02124000,0.08462000,0.42489733,0.03149786,0.03961352
1345.00000000,5.02057000,0.08463000,0.42489084,0.03161540,0.03976104
1350.00000000,5.02026000,0.08462000,0.42481440,0.03173293,0.03990854
1355.00000000,5.01995000,0.08462000,0.42478817,0.03185046,0.04005602
1360.00000000,5.01952000,0.08461000,0.42470159,0.03196798,0.04020351
1365.00000000,5.02030000,0.08459000,0.42466718,0.03208548,0.04035097
1370.00000000,5.02046000,0.08463000,0.42488153,0.03220299,0.04049851
1375.00000000,5.02069000,0.08463000,0.42490099,0.03232053,0.04064602
1380.00000000,5.01983000,0.08457000,0.42452702,0.03243803,0.04079346
1385.00000000,5.02108000,0.08465000,0.42503442,0.03255555,0.04094106
1390.00000000,5.02182000,0.08460000,0.42484597,0.03267308,0.04108857
1395.00000000,5.02151000,0.08459000,0.42476953,0.03279058,0.04123602
1400.00000000,5.02018000,0.08461000,0.42475743,0.03290808,0.04138356
1405.00000000,5.02214000,0.08459000,0.42482282,0.03302558,0.04153106
1410.00000000,5.02175000,0.08462000,0.42494048,0.03314308,0.04167863
1415.00000000,5.02249000,0.08461000,0.42495288,0.03326060,0.04182614
1420.00000000,5.02108000,0.08459000,0.42473316,0.03337810,0.04197361
1425.00000000,5.02073000,0.08462000,0.42485417,0.03349561,0.04212113
1430.00000000,5.02096000,0.08459000,0.42472301,0.03361312,0.04226859
1435.00000000,5.02034000,0.08459000,0.42467056,0.03373060,0.04241606
1440.00000000,5.02108000,0.08456000,0.42458252,0.03384807,0.04256347
1445.00000000,5.02034000,0.08457000,0.42457015,0.03396552,0.04271091
1450.00000000,5.02100000,0.08456000,0.42457576,0.03408297,0.04285838
1455.00000000,5.02272000,0.08457000,0.42477143,0.03420042,0.04300582
1460.00000000,5.02120000,0.08459000,0.42474331,0.03431790,0.04315332
1465.00000000,5.02163000,0.08460000,0.42482990,0.03443539,0.04330084
1470.00000000,5.02194000,0.08457000,0.42470547,0.03455287,0.04344829
1475.00000000,5.02151000,0.08459000,0.42476953,0.03467034,0.04359577
1480.00000000,5.02104000,0.08460000,0.42477998,0.03478783,0.04374326
1485.00000000,5.02112000,0.08458000,0.42468633,0.03490532,0.04389073
1490.00000000,5.02139000,0.08457000,0.42465895,0.03502278,0.04403821
1495.00000000,5.02225000,0.08460000,0.42488235,0.03514026,0.04418572
1500.00000000,5.02163000,0.08459000,0.42477968,0.03525776,0.04433320
1505.00000000,5.02124000,0.08461000,0.42484712,0.03537526,0.04448072
1510.00000000,5.02143000,0.08459000,0.42476276,0.03549276,0.04462825
1515.00000000,5.02276000,0.08459000,0.42487527,0.03561024,0.04477575
1520.00000000,5.02214000,0.08456000,0.42467216,0.03572771,0.04492318
1525.00000000,5.02124000,0.08458000,0.42469648,0.03584517,0.04507064
1530.00000000,5.02085000,0.08458000,0.42466349,0.03596264,0.04521809
1535.00000000,5.02093000,0.08459000,0.42472047,0.03608012,0.04536552
1540.00000000,5.01936000,0.08460000,0.42463786,0.03619761,0.04551299
1545.00000000,5.02022000,0.08460000,0.42471061,0.03631511,0.04566043
1550.00000000,5.01921000,0.08461000,0.42467536,0.03643262,0.04580791
1555.00000000,5.02018000,0.08459000,0.42465703,0.03655012,0.04595537
1560.00000000,5.02046000,0.08458000,0.42463051,0.03666760,0.04610279
1565.00000000,5.01964000,0.08458000,0.42456115,0.03678507,0.04625021
1570.00000000,5.01999000,0.08460000,0.42469115,0.03690256,0.04639771
1575.00000000,5.02124000,0.08458000,0.42469648,0.03702004,0.04654515
1580.00000000,5.02022000,0.08459000,0.42466041,0.03713752,0.04669259
1585.00000000,5.02007000,0.08459000,0.42464772,0.03725501,0.04684007
1590.00000000,5.02104000,0.08459000,0.42472977,0.03737249,0.04698755
1595.00000000,5.02135000,0.08457000,0.42465557,0.03748997,0.04713503
1600.00000000,5.02214000,0.08459000,0.42482282,0.03760744,0.04728249
1605.00000000,5.02077000,0.08458000,0.42465673,0.03772492,0.04742996
1610.00000000,5.02139000,0.08461000,0.42485981,0.03784241,0.04757749
1615.00000000,5.02163000,0.08460000,0.42482990,0.03795992,0.04772500
1620.00000000,5.02171000,0.08460000,0.42483667,0.03807742,0.04787251
1625.00000000,5.02143000,0.08461000,0.42486319,0.03819492,0.04802003
1630.00000000,5.02147000,0.08462000,0.42491679,0.03831244,0.04816755
1635.00000000,5.02061000,0.08462000,0.42484402,0.03842997,0.04831505
1640.00000000,5.02026000,0.08460000,0.42471400,0.03854749,0.04846253
1645.00000000,5.02046000,0.08463000,0.42488153,0.03866501,0.04861009
1650.00000000,5.02159000,0.08459000,0.42477630,0.03878252,0.04875758
1655.00000000,5.02139000,0.08462000,0.42491002,0.03890003,0.04890509
1660.00000000,5.02057000,0.08460000,0.42474022,0.03901754,0.04905254
1665.00000000,5.01975000,0.08459000,0.42462065,0.03913503,0.04919999
1670.00000000,5.01987000,0.08460000,0.42468100,0.03925253,0.04934749
1675.00000000,5.02128000,0.08457000,0.42464965,0.03937001,0.04949491
1680.00000000,5.02050000,0.08461000,0.42478451,0.03948749,0.04964241
1685.00000000,5.02053000,0.08459000,0.42468663,0.03960499,0.04978989
1690.00000000,5.02124000,0.08456000,0.42459605,0.03972246,0.04993731
1695.00000000,5.02100000,0.08459000,0.42472639,0.03983992,0.05008479
1700.00000000,5.02124000,0.08456000,0.42459605,0.03995739,0.05023221
1705.00000000,5.02104000,0.08455000,0.42452893,0.04007483,0.05037959
1710.00000000,5.02003000,0.08452000,0.42429294,0.04019224,0.05052693
1715.00000000,5.02061000,0.08451000,0.42429175,0.04030962,0.05067426
1720.00000000,5.02077000,0.08449000,0.42420486,0.04042698,0.05082153
1725.00000000,5.01987000,0.08447000,0.42402842,0.04054431,0.05096879
1730.00000000,5.02100000,0.08446000,0.42407366,0.04066162,0.05111602
1735.00000000,5.02038000,0.08449000,0.42417191,0.04077895,0.05126328
1740.00000000,5.01956000,0.08449000,0.42410262,0.04089630,0.05141058
1745.00000000,5.02085000,0.08451000,0.42431203,0.04101366,0.05155790
1750.00000000,5.02057000,0.08452000,0.42433858,0.04113104,0.05170524
1755.00000000,5.02050000,0.08455000,0.42448327,0.04124845,0.05185263
1760.00000000,5.02065000,0.08453000,0.42439554,0.04136587,0.05199997
1765.00000000,5.01991000,0.08454000,0.42438319,0.04148328,0.05214734
1770.00000000,5.02034000,0.08455000,0.42446975,0.04160070,0.05229472
1775.00000000,5.02030000,0.08451000,0.42426555,0.04171810,0.05244203
1780.00000000,5.02022000,0.08452000,0.42430899,0.04183549,0.05258941
1785.00000000,5.02194000,0.08455000,0.42460503,0.04195290,0.05273682
1790.00000000,5.02124000,0.08455000,0.42454584,0.04207033,0.05288420
1795.00000000,5.01991000,0.08453000,0.42433299,0.04218774,0.05303153
1800.00000000,5.01983000,0.08454000,0.42437643,0.04230515,0.05317887
1805.00000000,5.01944000,0.08455000,0.42439365,0.04242258,0.05332626
1810.00000000,5.02042000,0.08456000,0.42452672,0.04254001,0.05347368
1815.00000000,5.02073000,0.08458000,0.42465334,0.04265747,0.05362112
1820.00000000,5.02050000,0.08457000,0.42458369,0.04277494,0.05376851
1825.00000000,5.01944000,0.08457000,0.42449404,0.04289240,0.05391593
1830.00000000,5.02014000,0.08457000,0.42455324,0.04300985,0.05406339
1835.00000000,5.02178000,0.08458000,0.42474215,0.04312732,0.05421086
1840.00000000,5.02143000,0.08457000,0.42466234,0.04324478,0.05435832
1845.00000000,5.02182000,0.08458000,0.42474554,0.04336225,0.05450579
1850.00000000,5.02147000,0.08457000,0.42466572,0.04347972,0.05465326
1855.00000000,5.02198000,0.08458000,0.42475907,0.04359718,0.05480072
1860.00000000,5.02093000,0.08459000,0.42472047,0.04371466,0.05494820
1865.00000000,5.02120000,0.08459000,0.42474331,0.04383215,0.05509567
1870.00000000,5.02096000,0.08457000,0.42462259,0.04394962,0.05524307
1875.00000000,5.01975000,0.08456000,0.42447006,0.04406707,0.05539046
1880.00000000,5.01991000,0.08454000,0.42438319,0.04418450,0.05553783
1885.00000000,5.02038000,0.08453000,0.42437272,0.04430191,0.05568520
1890.00000000,5.02093000,0.08456000,0.42456984,0.04441933,0.05583261
1895.00000000,5.02050000,0.08453000,0.42438286,0.04453676,0.05597996
